"year","statistical_region","collection_centre","waste_code","type_of_waste","waste_category","waste_collected_by_centre"
2024,"POMURSKA","Zbirni center komunalnih odpadkov Radenci; BORAÄŚEVA 40G, 9252 RADENCI","20 01 38","Non-hazardous Wood from Municipal Waste (20 01 38)","Municipal Waste",82.22
2024,"POMURSKA","Zbirni center komunalnih odpadkov Sveti Jurij ob Ĺ ÄŤavnici","20 01 38","Non-hazardous Wood from Municipal Waste (20 01 38)","Municipal Waste",21.36
2024,"POMURSKA","zbirni center Apače","15 01 01","Paper and Cardboard Packaging (15 01 01)","Packaging Waste",60.3
2024,"POMURSKA","zbirni center Apače","20 01 01","Paper and Cardboard from Municipal Waste (20 01 01)","Municipal Waste",28.121
2024,"POMURSKA","zbirni center Apače","20 03 07","Bulky Municipal Waste (20 03 07)","Municipal Waste",254.96
2024,"POMURSKA","zbirni center Ljutomer","15 01 01","Paper and Cardboard Packaging (15 01 01)","Packaging Waste",25.12
2024,"POMURSKA","zbirni center Ljutomer","20 01 01","Paper and Cardboard from Municipal Waste (20 01 01)","Municipal Waste",183.807
2024,"POMURSKA","zbirni center Ljutomer","20 03 07","Bulky Municipal Waste (20 03 07)","Municipal Waste",786.56
2024,"POSAVSKA","Boršt","15 01 01","Paper and Cardboard Packaging (15 01 01)","Packaging Waste",255.253
2024,"POSAVSKA","Boršt","20 01 01","Paper and Cardboard from Municipal Waste (20 01 01)","Municipal Waste",150.863
2024,"POSAVSKA","Boršt","20 01 38","Non-hazardous Wood from Municipal Waste (20 01 38)","Municipal Waste",664.76
2024,"POSAVSKA","Boršt","20 03 07","Bulky Municipal Waste (20 03 07)","Municipal Waste",1419.94
2024,"POSAVSKA","Center za ravnanje z odpadki Spodnji Stari Grad, Vrbina, 8270 Krško","15 01 01","Paper and Cardboard Packaging (15 01 01)","Packaging Waste",307.831
2024,"POSAVSKA","Center za ravnanje z odpadki Spodnji Stari Grad, Vrbina, 8270 Krško","20 01 01","Paper and Cardboard from Municipal Waste (20 01 01)","Municipal Waste",687.727
2024,"POSAVSKA","Center za ravnanje z odpadki Spodnji Stari Grad, Vrbina, 8270 Krško","20 03 07","Bulky Municipal Waste (20 03 07)","Municipal Waste",1514.22
2024,"POSAVSKA","Skladišče Brežice; CESTA BRATOV CERJAKOV 38, 8250 BREŽICE","03 01 05","Sawdust/Shavings/Cuttings (03 01 05)","Wood/Paper Production Waste",23.444
2024,"POSAVSKA","Skladišče Brežice; CESTA BRATOV CERJAKOV 38, 8250 BREŽICE","03 03 01","Bark and Wood Waste from Pulp/Paper Production (03 03 01)","Wood/Paper Production Waste",1.797
2024,"POSAVSKA","Skladišče Brežice; CESTA BRATOV CERJAKOV 38, 8250 BREŽICE","15 01 01","Paper and Cardboard Packaging (15 01 01)","Packaging Waste",896.37
2024,"POSAVSKA","Skladišče Brežice; CESTA BRATOV CERJAKOV 38, 8250 BREŽICE","15 01 03","Wooden Packaging (15 01 03)","Packaging Waste",343.12
2024,"POSAVSKA","Skladišče Brežice; CESTA BRATOV CERJAKOV 38, 8250 BREŽICE","17 02 01","Construction Wood Waste (17 02 01)","Construction/Demolition Waste",25.116
2024,"POSAVSKA","Skladišče Brežice; CESTA BRATOV CERJAKOV 38, 8250 BREŽICE","20 01 01","Paper and Cardboard from Municipal Waste (20 01 01)","Municipal Waste",750.164
2024,"POSAVSKA","Skladišče Brežice; CESTA BRATOV CERJAKOV 38, 8250 BREŽICE","20 01 38","Non-hazardous Wood from Municipal Waste (20 01 38)","Municipal Waste",0.2
2024,"POSAVSKA","Skladišče Brežice; CESTA BRATOV CERJAKOV 38, 8250 BREŽICE","20 03 07","Bulky Municipal Waste (20 03 07)","Municipal Waste",26.84
2024,"POSAVSKA","ZBIRNI CENTER ZA ODPADKE SEVNICA","15 01 01","Paper and Cardboard Packaging (15 01 01)","Packaging Waste",231.097
2024,"POSAVSKA","ZBIRNI CENTER ZA ODPADKE SEVNICA","15 01 03","Wooden Packaging (15 01 03)","Packaging Waste",12.79
2024,"POSAVSKA","ZBIRNI CENTER ZA ODPADKE SEVNICA","20 01 01","Paper and Cardboard from Municipal Waste (20 01 01)","Municipal Waste",118.988
2024,"POSAVSKA","ZBIRNI CENTER ZA ODPADKE SEVNICA","20 01 38","Non-hazardous Wood from Municipal Waste (20 01 38)","Municipal Waste",273.36
2024,"POSAVSKA","ZBIRNI CENTER ZA ODPADKE SEVNICA","20 03 07","Bulky Municipal Waste (20 03 07)","Municipal Waste",149.28
2024,"POSAVSKA","ZC Hotemaž","15 01 01","Paper and Cardboard Packaging (15 01 01)","Packaging Waste",50.109
2024,"POSAVSKA","ZC Hotemaž","20 01 01","Paper and Cardboard from Municipal Waste (20 01 01)","Municipal Waste",42.195
2024,"POSAVSKA","ZC Hotemaž","20 01 38","Non-hazardous Wood from Municipal Waste (20 01 38)","Municipal Waste",94.06
2024,"POSAVSKA","ZC Hotemaž","20 03 07","Bulky Municipal Waste (20 03 07)","Municipal Waste",50.46
2024,"POSAVSKA","Zbirni center Kostak 1","15 01 01","Paper and Cardboard Packaging (15 01 01)","Packaging Waste",2340.459
2024,"POSAVSKA","Zbirni center Kostak 1","15 01 03","Wooden Packaging (15 01 03)","Packaging Waste",2407.7
2024,"POSAVSKA","Zbirni center Kostak 2; LESKOVŠKA CESTA 2A, 8270 KRŠKO","20 01 38","Non-hazardous Wood from Municipal Waste (20 01 38)","Municipal Waste",2119.76
2024,"POSAVSKA","Zbirni center za odpadke, Savska c., Sevnica; SAVSKA CESTA 26, 8290 SEVNICA","15 01 03","Wooden Packaging (15 01 03)","Packaging Waste",0.1
2024,"POSAVSKA","Zbirni center za odpadke, Savska c., Sevnica; SAVSKA CESTA 26, 8290 SEVNICA","20 01 38","Non-hazardous Wood from Municipal Waste (20 01 38)","Municipal Waste",1.2
2024,"POSAVSKA","Zbirni center; PLANINSKA CESTA 49, 8290 SEVNICA","15 01 01","Paper and Cardboard Packaging (15 01 01)","Packaging Waste",64.74
2024,"POSAVSKA","Zbirni center; PLANINSKA CESTA 49, 8290 SEVNICA","15 01 03","Wooden Packaging (15 01 03)","Packaging Waste",53.28
2024,"POSAVSKA","Zbirni center; PLANINSKA CESTA 49, 8290 SEVNICA","20 01 01","Paper and Cardboard from Municipal Waste (20 01 01)","Municipal Waste",39.977
2024,"PRIMORSKO-NOTRANJSKA","540532","20 01 01","Paper and Cardboard from Municipal Waste (20 01 01)","Municipal Waste",6.28
2024,"PRIMORSKO-NOTRANJSKA","540532","20 01 38","Non-hazardous Wood from Municipal Waste (20 01 38)","Municipal Waste",36.88
2024,"PRIMORSKO-NOTRANJSKA","540532","20 03 07","Bulky Municipal Waste (20 03 07)","Municipal Waste",86.8
2024,"PRIMORSKO-NOTRANJSKA","562279","15 01 01","Paper and Cardboard Packaging (15 01 01)","Packaging Waste",68.631
2024,"PRIMORSKO-NOTRANJSKA","Odlagališče in zbirni center Postojna","15 01 01","Paper and Cardboard Packaging (15 01 01)","Packaging Waste",144.976
2024,"PRIMORSKO-NOTRANJSKA","Odlagališče in zbirni center Postojna","20 01 01","Paper and Cardboard from Municipal Waste (20 01 01)","Municipal Waste",382.07
2024,"PRIMORSKO-NOTRANJSKA","Odlagališče in zbirni center Postojna","20 01 38","Non-hazardous Wood from Municipal Waste (20 01 38)","Municipal Waste",702.59
2024,"PRIMORSKO-NOTRANJSKA","Odlagališče in zbirni center Postojna","20 03 07","Bulky Municipal Waste (20 03 07)","Municipal Waste",965.09
2024,"PRIMORSKO-NOTRANJSKA","Zbirni center Cerknica; NOTRANJSKA CESTA 44, 1380 CERKNICA","15 01 01","Paper and Cardboard Packaging (15 01 01)","Packaging Waste",154.779
2024,"PRIMORSKO-NOTRANJSKA","Zbirni center Cerknica; NOTRANJSKA CESTA 44, 1380 CERKNICA","20 01 01","Paper and Cardboard from Municipal Waste (20 01 01)","Municipal Waste",152.829
2024,"PRIMORSKO-NOTRANJSKA","Zbirni center Cerknica; NOTRANJSKA CESTA 44, 1380 CERKNICA","20 01 38","Non-hazardous Wood from Municipal Waste (20 01 38)","Municipal Waste",445.43
2024,"PRIMORSKO-NOTRANJSKA","Zbirni center Cerknica; NOTRANJSKA CESTA 44, 1380 CERKNICA","20 03 07","Bulky Municipal Waste (20 03 07)","Municipal Waste",768
2024,"PRIMORSKO-NOTRANJSKA","Zbirni center za ločene frakcije odpadkov Ilirska Bistrica","15 01 01","Paper and Cardboard Packaging (15 01 01)","Packaging Waste",121.066
2024,"PRIMORSKO-NOTRANJSKA","Zbirni center za ločene frakcije odpadkov Ilirska Bistrica","20 01 01","Paper and Cardboard from Municipal Waste (20 01 01)","Municipal Waste",117.15
2024,"PRIMORSKO-NOTRANJSKA","Zbirni center za ločene frakcije odpadkov Ilirska Bistrica","20 01 38","Non-hazardous Wood from Municipal Waste (20 01 38)","Municipal Waste",236.27
2024,"PRIMORSKO-NOTRANJSKA","Zbirni center za ločene frakcije odpadkov Ilirska Bistrica","20 03 07","Bulky Municipal Waste (20 03 07)","Municipal Waste",378.2
2024,"SAVINJSKA","35540","15 01 01","Paper and Cardboard Packaging (15 01 01)","Packaging Waste",144.12
2024,"SAVINJSKA","35540","20 01 01","Paper and Cardboard from Municipal Waste (20 01 01)","Municipal Waste",274.237
2024,"SAVINJSKA","35540","20 01 38","Non-hazardous Wood from Municipal Waste (20 01 38)","Municipal Waste",657.11
2024,"SAVINJSKA","35540","20 03 07","Bulky Municipal Waste (20 03 07)","Municipal Waste",287.323
2024,"SAVINJSKA","SEDEŽ; VRBJE 80A, 3310 ŽALEC","20 01 01","Paper and Cardboard from Municipal Waste (20 01 01)","Municipal Waste",270.638
2024,"SAVINJSKA","STRENSKO","15 01 01","Paper and Cardboard Packaging (15 01 01)","Packaging Waste",185.9
2024,"SAVINJSKA","STRENSKO","20 01 01","Paper and Cardboard from Municipal Waste (20 01 01)","Municipal Waste",2.84
2024,"SAVINJSKA","STRENSKO","20 01 38","Non-hazardous Wood from Municipal Waste (20 01 38)","Municipal Waste",79.05
2024,"SAVINJSKA","STRENSKO","20 03 07","Bulky Municipal Waste (20 03 07)","Municipal Waste",404.84
2024,"SAVINJSKA","Skladišče Velenje; CESTA SIMONA BLATNIKA 9, 3320 VELENJE","17 02 01","Construction Wood Waste (17 02 01)","Construction/Demolition Waste",25.98
2024,"SAVINJSKA","ZC BISTRICA OB SOTLI","15 01 01","Paper and Cardboard Packaging (15 01 01)","Packaging Waste",7.19
2024,"SAVINJSKA","ZC BISTRICA OB SOTLI","20 01 01","Paper and Cardboard from Municipal Waste (20 01 01)","Municipal Waste",6.2
2024,"SAVINJSKA","ZC BISTRICA OB SOTLI","20 01 38","Non-hazardous Wood from Municipal Waste (20 01 38)","Municipal Waste",0.85
2024,"SAVINJSKA","ZC BISTRICA OB SOTLI","20 03 07","Bulky Municipal Waste (20 03 07)","Municipal Waste",47.47
2024,"SAVINJSKA","ZC KOZJE","15 01 01","Paper and Cardboard Packaging (15 01 01)","Packaging Waste",24.18
2024,"SAVINJSKA","ZC KOZJE","20 01 01","Paper and Cardboard from Municipal Waste (20 01 01)","Municipal Waste",13.01
2024,"SAVINJSKA","ZC KOZJE","20 01 38","Non-hazardous Wood from Municipal Waste (20 01 38)","Municipal Waste",25.5
2024,"SAVINJSKA","ZC KOZJE","20 03 07","Bulky Municipal Waste (20 03 07)","Municipal Waste",128.31
2024,"SAVINJSKA","ZC LOKE PRI MOZIRJU","15 01 01","Paper and Cardboard Packaging (15 01 01)","Packaging Waste",72.275
2024,"SAVINJSKA","ZC LOKE PRI MOZIRJU","20 01 01","Paper and Cardboard from Municipal Waste (20 01 01)","Municipal Waste",61.285
2024,"SAVINJSKA","ZC LOKE PRI MOZIRJU","20 01 38","Non-hazardous Wood from Municipal Waste (20 01 38)","Municipal Waste",145.02
2024,"SAVINJSKA","ZC LOKE PRI MOZIRJU","20 03 07","Bulky Municipal Waste (20 03 07)","Municipal Waste",330.66
2024,"SAVINJSKA","ZC PODČETRTEK","15 01 01","Paper and Cardboard Packaging (15 01 01)","Packaging Waste",21.54
2024,"SAVINJSKA","ZC PODČETRTEK","20 01 01","Paper and Cardboard from Municipal Waste (20 01 01)","Municipal Waste",12.8
2024,"SAVINJSKA","ZC PODČETRTEK","20 01 38","Non-hazardous Wood from Municipal Waste (20 01 38)","Municipal Waste",15.99
2024,"SAVINJSKA","ZC PODČETRTEK","20 03 07","Bulky Municipal Waste (20 03 07)","Municipal Waste",124.84
2024,"SAVINJSKA","ZC TUNCOVEC","15 01 01","Paper and Cardboard Packaging (15 01 01)","Packaging Waste",125.55
2024,"SAVINJSKA","ZC TUNCOVEC","20 01 01","Paper and Cardboard from Municipal Waste (20 01 01)","Municipal Waste",114.059
2024,"SAVINJSKA","ZC TUNCOVEC","20 01 38","Non-hazardous Wood from Municipal Waste (20 01 38)","Municipal Waste",49.6
2024,"SAVINJSKA","ZC TUNCOVEC","20 03 07","Bulky Municipal Waste (20 03 07)","Municipal Waste",974.63
2024,"SAVINJSKA","ZC ŠMARJE PRI JELŠAH","15 01 01","Paper and Cardboard Packaging (15 01 01)","Packaging Waste",64.07
2024,"SAVINJSKA","ZC ŠMARJE PRI JELŠAH","20 01 01","Paper and Cardboard from Municipal Waste (20 01 01)","Municipal Waste",42.3
2024,"SAVINJSKA","ZC ŠMARJE PRI JELŠAH","20 01 38","Non-hazardous Wood from Municipal Waste (20 01 38)","Municipal Waste",37.78
2024,"SAVINJSKA","ZC ŠMARJE PRI JELŠAH","20 03 07","Bulky Municipal Waste (20 03 07)","Municipal Waste",201.3
2024,"SAVINJSKA","ZC:RCERO Celje - Zbirni center","03 01 05","Sawdust/Shavings/Cuttings (03 01 05)","Wood/Paper Production Waste",1.18
2024,"SAVINJSKA","ZC:RCERO Celje - Zbirni center","15 01 01","Paper and Cardboard Packaging (15 01 01)","Packaging Waste",1418.78
2024,"SAVINJSKA","ZC:RCERO Celje - Zbirni center","15 01 03","Wooden Packaging (15 01 03)","Packaging Waste",5.8
2024,"SAVINJSKA","ZC:RCERO Celje - Zbirni center","20 01 01","Paper and Cardboard from Municipal Waste (20 01 01)","Municipal Waste",1646.34
2024,"SAVINJSKA","ZC:RCERO Celje - Zbirni center","20 01 38","Non-hazardous Wood from Municipal Waste (20 01 38)","Municipal Waste",1627.62
2024,"SAVINJSKA","ZC:RCERO Celje - Zbirni center","20 03 07","Bulky Municipal Waste (20 03 07)","Municipal Waste",8809.36
2024,"SAVINJSKA","Zbirni center Podhom","15 01 01","Paper and Cardboard Packaging (15 01 01)","Packaging Waste",86.68
2024,"SAVINJSKA","Zbirni center Podhom","20 01 01","Paper and Cardboard from Municipal Waste (20 01 01)","Municipal Waste",121.325
2024,"SAVINJSKA","Zbirni center Podhom","20 01 38","Non-hazardous Wood from Municipal Waste (20 01 38)","Municipal Waste",556.045
2024,"SAVINJSKA","Zbirni center Podhom","20 03 07","Bulky Municipal Waste (20 03 07)","Municipal Waste",539.769
2024,"SAVINJSKA","Zbirni center Velenje I; DEBERCA 7, 3320 VELENJE","03 01 05","Sawdust/Shavings/Cuttings (03 01 05)","Wood/Paper Production Waste",145.7
2024,"SAVINJSKA","Zbirni center Velenje I; DEBERCA 7, 3320 VELENJE","15 01 01","Paper and Cardboard Packaging (15 01 01)","Packaging Waste",434.792
2024,"SAVINJSKA","Zbirni center Velenje I; DEBERCA 7, 3320 VELENJE","15 01 03","Wooden Packaging (15 01 03)","Packaging Waste",242.94
2024,"SAVINJSKA","Zbirni center Velenje I; DEBERCA 7, 3320 VELENJE","17 02 01","Construction Wood Waste (17 02 01)","Construction/Demolition Waste",520.94
2024,"SAVINJSKA","Zbirni center Velenje I; DEBERCA 7, 3320 VELENJE","20 01 01","Paper and Cardboard from Municipal Waste (20 01 01)","Municipal Waste",701.326
2024,"SAVINJSKA","Zbirni center Velenje I; DEBERCA 7, 3320 VELENJE","20 01 38","Non-hazardous Wood from Municipal Waste (20 01 38)","Municipal Waste",1274.395
2024,"SAVINJSKA","Zbirni center Velenje I; DEBERCA 7, 3320 VELENJE","20 03 07","Bulky Municipal Waste (20 03 07)","Municipal Waste",724.811
2024,"ZASAVSKA","CENTER ZA RAVNANJE Z ODPADKI ZASAVJE d.o.o","20 03 07","Bulky Municipal Waste (20 03 07)","Municipal Waste",298.62
2024,"ZASAVSKA","DINOS, družba za pripravo sekundarnih surovin d.o.o.","15 01 01","Paper and Cardboard Packaging (15 01 01)","Packaging Waste",34.809
2024,"ZASAVSKA","KOMTEKS, ZBIRANJE IN ODKUP SEKUNDARNIH SUROVIN, D.O.O","15 01 01","Paper and Cardboard Packaging (15 01 01)","Packaging Waste",17.56
2024,"ZASAVSKA","Kostak, komunalno in gradbeno podjetje, d.d.","15 01 01","Paper and Cardboard Packaging (15 01 01)","Packaging Waste",12.8
2024,"ZASAVSKA","Kostak, komunalno in gradbeno podjetje, d.d.","20 01 01","Paper and Cardboard from Municipal Waste (20 01 01)","Municipal Waste",4.86
2024,"ZASAVSKA","SALOMON, D.O.O.","15 01 01","Paper and Cardboard Packaging (15 01 01)","Packaging Waste",59.94
2024,"ZASAVSKA","SUROVINA, družba za predelavo odpadkov d.o.o.","15 01 01","Paper and Cardboard Packaging (15 01 01)","Packaging Waste",66.04
2024,"ZASAVSKA","Skladišče Trbovlje Neža","15 01 01","Paper and Cardboard Packaging (15 01 01)","Packaging Waste",607.225
2024,"ZASAVSKA","Skladišče Trbovlje Neža","15 01 03","Wooden Packaging (15 01 03)","Packaging Waste",205.788
2024,"ZASAVSKA","Skladišče Trbovlje Neža","17 02 01","Construction Wood Waste (17 02 01)","Construction/Demolition Waste",7.04
2024,"ZASAVSKA","Skladišče Trbovlje Neža","20 01 01","Paper and Cardboard from Municipal Waste (20 01 01)","Municipal Waste",212.387
2024,"ZASAVSKA","Skladišče Trbovlje Neža","20 01 38","Non-hazardous Wood from Municipal Waste (20 01 38)","Municipal Waste",1.92
2024,"ZASAVSKA","Skladišče Trbovlje Neža","20 03 07","Bulky Municipal Waste (20 03 07)","Municipal Waste",5.69
2024,"ZASAVSKA","Zagorje ob Savi","15 01 01","Paper and Cardboard Packaging (15 01 01)","Packaging Waste",203.07
2024,"ZASAVSKA","Zagorje ob Savi","20 01 01","Paper and Cardboard from Municipal Waste (20 01 01)","Municipal Waste",100.242
2024,"ZASAVSKA","Zagorje ob Savi","20 01 38","Non-hazardous Wood from Municipal Waste (20 01 38)","Municipal Waste",435.08
2024,"ZASAVSKA","Zagorje ob Savi","20 03 07","Bulky Municipal Waste (20 03 07)","Municipal Waste",107.74
2024,"ZASAVSKA","Zbirni center Neža","15 01 01","Paper and Cardboard Packaging (15 01 01)","Packaging Waste",165.853
2024,"ZASAVSKA","Zbirni center Neža","20 01 01","Paper and Cardboard from Municipal Waste (20 01 01)","Municipal Waste",56.013
2024,"ZASAVSKA","Zbirni center Neža","20 01 38","Non-hazardous Wood from Municipal Waste (20 01 38)","Municipal Waste",745.9
2024,"ZASAVSKA","Zbirni center Neža","20 03 07","Bulky Municipal Waste (20 03 07)","Municipal Waste",217.78
