year,statistical_region,treatment_inlet_delivered_waste_code,input_waste_name,waste_category,treatment_operation,treatment_outlet_delivered_waste_code,output_waste_name,waste_category_1,further_treatment_envisaged,waste_sent_to_self_storage_end_year,waste_sent_to_collector_SI,waste_sent_to_treatment_operator,waste_sent_to_EU_member_states,waste_sent_to_non_EU_countries,waste_sent_to_no_further_management
2022,JUGOVZHODNA SLOVENIJA,15 01 03,Wooden Packaging (15 01 03),Packaging Waste,R_13,15 01 03,Wooden Packaging (15 01 03),Packaging Waste,R_13,0,0,59.759,0,0,0
2022,JUGOVZHODNA SLOVENIJA,15 01 06,Mixed Packaging (15 01 06),Packaging Waste,"R_12, R_13",15 01 01,Paper and Cardboard Packaging (15 01 01),Packaging Waste,R_03,0,0,0,168.95,0,0
2022,JUGOVZHODNA SLOVENIJA,17 02 01,Construction Wood Waste (17 02 01),Construction/Demolition Waste,"R_12, R_13",17 02 01,Construction Wood Waste (17 02 01),Construction/Demolition Waste,R_03,0,0,51.56,0,0,0
2022,JUGOVZHODNA SLOVENIJA,17 02 01,Construction Wood Waste (17 02 01),Construction/Demolition Waste,"R_12, R_13",19 12 07,Wood Waste from Treatment (not 19 12 06) (19 12 07),Waste Treatment Residues,"R_12, R_13",0,0,236.16,0,0,0
2022,JUGOVZHODNA SLOVENIJA,19 12 01,Paper and Cardboard from Waste Treatment (19 12 01),Waste Treatment Residues,"R_12, R_13",19 12 01,Paper and Cardboard from Waste Treatment (19 12 01),Waste Treatment Residues,R_03,0,0,0,217.126,0,0
2022,JUGOVZHODNA SLOVENIJA,19 12 07,Wood Waste from Treatment (not 19 12 06) (19 12 07),Waste Treatment Residues,"R_12, R_13",19 12 07,Wood Waste from Treatment (not 19 12 06) (19 12 07),Waste Treatment Residues,undefined,0,14.498,0,0,0,0
2022,JUGOVZHODNA SLOVENIJA,20 01 01,Paper and Cardboard from Municipal Waste (20 01 01),Municipal Waste,"R_12, R_13",19 12 01,Paper and Cardboard from Waste Treatment (19 12 01),Waste Treatment Residues,R_03,0,0,119.31,0,0,0
2022,JUGOVZHODNA SLOVENIJA,20 01 01,Paper and Cardboard from Municipal Waste (20 01 01),Municipal Waste,"R_12, R_13",19 12 01,Paper and Cardboard from Waste Treatment (19 12 01),Waste Treatment Residues,"R_12, R_13",0,0,67.78,0,0,0
2022,JUGOVZHODNA SLOVENIJA,20 01 01,Paper and Cardboard from Municipal Waste (20 01 01),Municipal Waste,"R_12, R_13",20 01 01,Paper and Cardboard from Municipal Waste (20 01 01),Municipal Waste,R_03,0,0,826.248,1342.922,0,0
2022,JUGOVZHODNA SLOVENIJA,20 01 01,Paper and Cardboard from Municipal Waste (20 01 01),Municipal Waste,"R_12, R_13",20 01 01,Paper and Cardboard from Municipal Waste (20 01 01),Municipal Waste,undefined,309.595,0,0,0,0,0
2022,JUGOVZHODNA SLOVENIJA,20 01 38,Non-hazardous Wood from Municipal Waste (20 01 38),Municipal Waste,"R_12, R_13",19 12 07,Wood Waste from Treatment (not 19 12 06) (19 12 07),Waste Treatment Residues,"R_12, R_13",0,0,22.83,0,0,0
