"year","statistical_region","name_of_municipality","waste_code","type_of_waste","waste_category","waste_by_municipality"
2022,"POMURSKA","APAČE","15 01 03","Wooden Packaging (15 01 03)","Packaging Waste",111.38
2022,"POMURSKA","APAČE","20 01 01","Paper and Cardboard from Municipal Waste (20 01 01)","Municipal Waste",35.201
2022,"POMURSKA","APAČE","20 01 38","Non-hazardous Wood from Municipal Waste (20 01 38)","Municipal Waste",0.06
2022,"POMURSKA","APAČE","20 03 07","Bulky Municipal Waste (20 03 07)","Municipal Waste",303.56
2022,"POMURSKA","BELTINCI","15 01 01","Paper and Cardboard Packaging (15 01 01)","Packaging Waste",25.718
2022,"POMURSKA","BELTINCI","20 01 01","Paper and Cardboard from Municipal Waste (20 01 01)","Municipal Waste",191.488
2022,"POMURSKA","BELTINCI","20 01 38","Non-hazardous Wood from Municipal Waste (20 01 38)","Municipal Waste",121.879
2022,"POMURSKA","BELTINCI","20 03 07","Bulky Municipal Waste (20 03 07)","Municipal Waste",295.887
2022,"POMURSKA","CANKOVA","15 01 01","Paper and Cardboard Packaging (15 01 01)","Packaging Waste",10.46
2022,"POMURSKA","CANKOVA","20 01 01","Paper and Cardboard from Municipal Waste (20 01 01)","Municipal Waste",16.189
2022,"POMURSKA","CANKOVA","20 01 38","Non-hazardous Wood from Municipal Waste (20 01 38)","Municipal Waste",24.874
2022,"POMURSKA","CANKOVA","20 03 07","Bulky Municipal Waste (20 03 07)","Municipal Waste",63.74
2022,"POMURSKA","DOBROVNIK","15 01 01","Paper and Cardboard Packaging (15 01 01)","Packaging Waste",3.668
2022,"POMURSKA","DOBROVNIK","20 01 01","Paper and Cardboard from Municipal Waste (20 01 01)","Municipal Waste",51.009
2022,"POMURSKA","DOBROVNIK","20 01 38","Non-hazardous Wood from Municipal Waste (20 01 38)","Municipal Waste",20.747
2022,"POMURSKA","DOBROVNIK","20 03 07","Bulky Municipal Waste (20 03 07)","Municipal Waste",40.513
2022,"POMURSKA","GORNJA RADGONA","15 01 01","Paper and Cardboard Packaging (15 01 01)","Packaging Waste",55.72
2022,"POMURSKA","GORNJA RADGONA","20 01 01","Paper and Cardboard from Municipal Waste (20 01 01)","Municipal Waste",203.805
2022,"POMURSKA","GORNJA RADGONA","20 01 38","Non-hazardous Wood from Municipal Waste (20 01 38)","Municipal Waste",82.8
2022,"POMURSKA","GORNJA RADGONA","20 03 07","Bulky Municipal Waste (20 03 07)","Municipal Waste",220.472
2022,"POMURSKA","GORNJI PETROVCI","15 01 01","Paper and Cardboard Packaging (15 01 01)","Packaging Waste",4.041
2022,"POMURSKA","GORNJI PETROVCI","20 01 01","Paper and Cardboard from Municipal Waste (20 01 01)","Municipal Waste",20.165
2022,"POMURSKA","GORNJI PETROVCI","20 01 38","Non-hazardous Wood from Municipal Waste (20 01 38)","Municipal Waste",4.525
2022,"POMURSKA","GORNJI PETROVCI","20 03 07","Bulky Municipal Waste (20 03 07)","Municipal Waste",39.311
2022,"POMURSKA","GRAD","15 01 01","Paper and Cardboard Packaging (15 01 01)","Packaging Waste",7.607
2022,"POMURSKA","GRAD","15 01 03","Wooden Packaging (15 01 03)","Packaging Waste",67.82
2022,"POMURSKA","GRAD","20 01 01","Paper and Cardboard from Municipal Waste (20 01 01)","Municipal Waste",20.94
2022,"POMURSKA","GRAD","20 01 38","Non-hazardous Wood from Municipal Waste (20 01 38)","Municipal Waste",21.414
2022,"POMURSKA","GRAD","20 03 07","Bulky Municipal Waste (20 03 07)","Municipal Waste",60.07
2022,"POMURSKA","HODOŠ","15 01 01","Paper and Cardboard Packaging (15 01 01)","Packaging Waste",1.149
2022,"POMURSKA","HODOŠ","20 01 01","Paper and Cardboard from Municipal Waste (20 01 01)","Municipal Waste",15.49
2022,"POMURSKA","HODOŠ","20 01 38","Non-hazardous Wood from Municipal Waste (20 01 38)","Municipal Waste",1.662
2022,"POMURSKA","HODOŠ","20 03 07","Bulky Municipal Waste (20 03 07)","Municipal Waste",6.593
2022,"POMURSKA","KOBILJE","15 01 01","Paper and Cardboard Packaging (15 01 01)","Packaging Waste",2.263
2022,"POMURSKA","KOBILJE","20 01 01","Paper and Cardboard from Municipal Waste (20 01 01)","Municipal Waste",5.143
2022,"POMURSKA","KOBILJE","20 01 38","Non-hazardous Wood from Municipal Waste (20 01 38)","Municipal Waste",13.74
2022,"POMURSKA","KOBILJE","20 03 07","Bulky Municipal Waste (20 03 07)","Municipal Waste",18.48
2022,"POMURSKA","KRIŽEVCI","15 01 01","Paper and Cardboard Packaging (15 01 01)","Packaging Waste",5.05
