"year","statistical_region","waste_code","type_of_waste","waste_category","total_waste_generated_stored","temporarily_stored_start_year","generated_in_the_year","temporarily_stored_end_year","total_waste_given_away","waste_treated_by_original_generator","waste_transferred_for_treatment_in_RS","waste_sent_for_treatment_EU","waste_sent_for_treatment_outside_EU"
2024,"SAVINJSKA","15 01 01","Paper and Cardboard Packaging (15 01 01)","Packaging Waste",18721.086,9.217,18711.869,2.377,18718.535,0.174,18718.535,0,0
2024,"SAVINJSKA","15 01 03","Wooden Packaging (15 01 03)","Packaging Waste",7700.58,1.68,7698.9,5.01,7695.57,0,7695.57,0,0
2024,"SAVINJSKA","17 02 01","Construction Wood Waste (17 02 01)","Construction/Demolition Waste",993.809,0,993.809,0,993.809,0,993.809,0,0
2024,"SAVINJSKA","20 01 01","Paper and Cardboard from Municipal Waste (20 01 01)","Municipal Waste",803.128,1.522,801.606,0.601,802.128,0.399,792.601,9.527,0
2024,"SAVINJSKA","20 01 38","Non-hazardous Wood from Municipal Waste (20 01 38)","Municipal Waste",187.79,0.43,187.36,0.75,187.04,0,187.04,0,0
2024,"SAVINJSKA","20 03 07","Bulky Municipal Waste (20 03 07)","Municipal Waste",370.945,0,370.945,0,370.945,0,370.945,0,0
2024,"ZASAVSKA","03 03 08","Waste from Sorting of Paper and Cardboard for Recycling (03 03 08)","Wood/Paper Production Waste",416.63,0,416.63,0,416.63,0,416.63,0,0
2024,"ZASAVSKA","15 01 01","Paper and Cardboard Packaging (15 01 01)","Packaging Waste",723.609,0.143,723.466,0,723.609,0,723.609,0,0
2024,"ZASAVSKA","15 01 03","Wooden Packaging (15 01 03)","Packaging Waste",330.115,0,330.115,1.2,328.915,0,328.915,0,0
2024,"ZASAVSKA","17 02 01","Construction Wood Waste (17 02 01)","Construction/Demolition Waste",23.25,0,23.25,0,23.25,0,23.25,0,0
2024,"ZASAVSKA","20 01 01","Paper and Cardboard from Municipal Waste (20 01 01)","Municipal Waste",610.561,3.5,607.061,5.92,604.641,0,604.641,0,0
2024,"ZASAVSKA","20 01 37*","Wood Containing Hazardous Substances (20 01 37*)","Municipal Waste",0.049,0,0.049,0,0.049,0,0.049,0,0
2024,"ZASAVSKA","20 01 38","Non-hazardous Wood from Municipal Waste (20 01 38)","Municipal Waste",77.506,0,77.506,0,77.506,0,77.506,0,0
2024,"ZASAVSKA","20 03 07","Bulky Municipal Waste (20 03 07)","Municipal Waste",16.62,0,16.62,0.24,16.38,0,16.38,0,0
