"year","statistical_region","name_of_municipality","waste_code","type_of_waste","waste_category","municipal_waste_collected_by_municipality"
2020,"OSREDNJESLOVENSKA","MEDVODE","15 01 01","Paper and Cardboard Packaging (15 01 01)","Packaging Waste",93.644
2020,"OSREDNJESLOVENSKA","MENGEŠ","15 01 01","Paper and Cardboard Packaging (15 01 01)","Packaging Waste",93.261
2020,"JUGOVZHODNA SLOVENIJA","METLIKA","15 01 01","Paper and Cardboard Packaging (15 01 01)","Packaging Waste",170.53
2020,"KOROŠKA","MEŽICA","15 01 01","Paper and Cardboard Packaging (15 01 01)","Packaging Waste",7.277
2020,"GORIŠKA","MIREN-KOSTANJEVICA","15 01 01","Paper and Cardboard Packaging (15 01 01)","Packaging Waste",20.392
2020,"KOROŠKA","MISLINJA","15 01 01","Paper and Cardboard Packaging (15 01 01)","Packaging Waste",51.988
2020,"OSREDNJESLOVENSKA","MORAVČE","15 01 01","Paper and Cardboard Packaging (15 01 01)","Packaging Waste",56.1
2020,"POMURSKA","MORAVSKE TOPLICE","15 01 01","Paper and Cardboard Packaging (15 01 01)","Packaging Waste",8.845
2020,"SAVINJSKA","MOZIRJE","15 01 01","Paper and Cardboard Packaging (15 01 01)","Packaging Waste",105.191
2020,"OSREDNJESLOVENSKA","BREZOVICA","15 01 01","Paper and Cardboard Packaging (15 01 01)","Packaging Waste",46.349
2020,"POMURSKA","MURSKA SOBOTA","15 01 01","Paper and Cardboard Packaging (15 01 01)","Packaging Waste",178.412
2020,"KOROŠKA","MUTA","15 01 01","Paper and Cardboard Packaging (15 01 01)","Packaging Waste",19.483
2020,"GORENJSKA","NAKLO","15 01 01","Paper and Cardboard Packaging (15 01 01)","Packaging Waste",25.467
2020,"SAVINJSKA","NAZARJE","15 01 01","Paper and Cardboard Packaging (15 01 01)","Packaging Waste",18.103
2020,"GORIŠKA","NOVA GORICA","15 01 01","Paper and Cardboard Packaging (15 01 01)","Packaging Waste",471.96
2020,"JUGOVZHODNA SLOVENIJA","NOVO MESTO","15 01 01","Paper and Cardboard Packaging (15 01 01)","Packaging Waste",373.852
2020,"POMURSKA","ODRANCI","15 01 01","Paper and Cardboard Packaging (15 01 01)","Packaging Waste",2.421
2020,"PODRAVSKA","ORMOŽ","15 01 01","Paper and Cardboard Packaging (15 01 01)","Packaging Waste",102.562
2020,"PODRAVSKA","PESNICA","15 01 01","Paper and Cardboard Packaging (15 01 01)","Packaging Waste",26.446
2020,"POSAVSKA","BREŽICE","15 01 01","Paper and Cardboard Packaging (15 01 01)","Packaging Waste",569.633
2020,"OBALNOKRAŠKA","PIRAN","15 01 01","Paper and Cardboard Packaging (15 01 01)","Packaging Waste",548.582
2020,"PRIMORSKONOTRANJSKA","PIVKA","15 01 01","Paper and Cardboard Packaging (15 01 01)","Packaging Waste",183.12
2020,"SAVINJSKA","PODČETRTEK","15 01 01","Paper and Cardboard Packaging (15 01 01)","Packaging Waste",15.231
2020,"KOROŠKA","PODVELKA","15 01 01","Paper and Cardboard Packaging (15 01 01)","Packaging Waste",6.936
2020,"PRIMORSKONOTRANJSKA","POSTOJNA","15 01 01","Paper and Cardboard Packaging (15 01 01)","Packaging Waste",316.88
2020,"GORENJSKA","PREDDVOR","15 01 01","Paper and Cardboard Packaging (15 01 01)","Packaging Waste",17.898
2020,"PODRAVSKA","PTUJ","15 01 01","Paper and Cardboard Packaging (15 01 01)","Packaging Waste",245.819
2020,"POMURSKA","PUCONCI","15 01 01","Paper and Cardboard Packaging (15 01 01)","Packaging Waste",1.412
2020,"PODRAVSKA","RAČE-FRAM","15 01 01","Paper and Cardboard Packaging (15 01 01)","Packaging Waste",114.213
2020,"POSAVSKA","RADEČE","15 01 01","Paper and Cardboard Packaging (15 01 01)","Packaging Waste",242.394
2020,"GORIŠKA","AJDOVŠČINA","15 01 03","Wooden Packaging (15 01 03)","Packaging Waste",16.904
2020,"POMURSKA","RADENCI","15 01 03","Wooden Packaging (15 01 03)","Packaging Waste",18.52
2020,"KOROŠKA","RAVNE NA KOROŠKEM","15 01 03","Wooden Packaging (15 01 03)","Packaging Waste",53.28
2020,"JUGOVZHODNA SLOVENIJA","RIBNICA","15 01 03","Wooden Packaging (15 01 03)","Packaging Waste",0.27
2020,"SAVINJSKA","ROGAŠKA SLATINA","15 01 03","Wooden Packaging (15 01 03)","Packaging Waste",0.043
2020,"SAVINJSKA","ROGATEC","15 01 03","Wooden Packaging (15 01 03)","Packaging Waste",0.009
2020,"PODRAVSKA","RUŠE","15 01 03","Wooden Packaging (15 01 03)","Packaging Waste",0.059
2020,"SAVINJSKA","CELJE","15 01 03","Wooden Packaging (15 01 03)","Packaging Waste",64.88
2020,"POSAVSKA","SEVNICA","15 01 03","Wooden Packaging (15 01 03)","Packaging Waste",48.268
2020,"OBALNOKRAŠKA","SEŽANA","15 01 03","Wooden Packaging (15 01 03)","Packaging Waste",10.4
2020,"GORENJSKA","ŠENČUR","15 01 03","Wooden Packaging (15 01 03)","Packaging Waste",2.14
2020,"PODRAVSKA","ŠENTILJ","15 01 03","Wooden Packaging (15 01 03)","Packaging Waste",3.64
2020,"GORENJSKA","ŠKOFJA LOKA","15 01 03","Wooden Packaging (15 01 03)","Packaging Waste",37.575
2020,"SAVINJSKA","ŠMARJE PRI JELŠAH","15 01 03","Wooden Packaging (15 01 03)","Packaging Waste",0.041
2020,"SAVINJSKA","ŠTORE","15 01 03","Wooden Packaging (15 01 03)","Packaging Waste",29.34
2020,"ZASAVSKA","TRBOVLJE","15 01 03","Wooden Packaging (15 01 03)","Packaging Waste",23.13
2020,"PRIMORSKONOTRANJSKA","CERKNICA","15 01 03","Wooden Packaging (15 01 03)","Packaging Waste",93.38
2020,"GORENJSKA","TRŽIČ","15 01 03","Wooden Packaging (15 01 03)","Packaging Waste",56.2
