"year","statistical_region","waste_code","type_of_waste","waste_category","total_waste_received","untreated_waste_from_storage_start_year","waste_received_own_waste","waste_received_from_generators","waste_received_from_collectors","waste_received_from_treatment","waste_received_from_EU","waste_received_from_non_EU"
2024,"PRIMORSKO-NOTRANJSKA","15 01 01","Paper and Cardboard Packaging (15 01 01)","Packaging Waste",116.42,0,0,116.42,0,0,0,0
2024,"PRIMORSKO-NOTRANJSKA","15 01 03","Wooden Packaging (15 01 03)","Packaging Waste",12.58,0,0,12.58,0,0,0,0
2024,"SAVINJSKA","03 01 05","Sawdust/Shavings/Cuttings (03 01 05)","Wood/Paper Production Waste",181.11,0,0,181.11,0,0,0,0
2024,"SAVINJSKA","03 01 99","Other Unspecified Wood Waste (03 01 99)","Wood/Paper Production Waste",689.266,0,0,689.266,0,0,0,0
2024,"SAVINJSKA","03 03 01","Bark and Wood Waste from Pulp/Paper Production (03 03 01)","Wood/Paper Production Waste",40.22,0,0,40.22,0,0,0,0
2024,"SAVINJSKA","03 03 08","Waste from Sorting of Paper and Cardboard for Recycling (03 03 08)","Wood/Paper Production Waste",2680.559,0,0,2680.559,0,0,0,0
2024,"SAVINJSKA","15 01 01","Paper and Cardboard Packaging (15 01 01)","Packaging Waste",23650.888,2.51,0.174,17264.29,5479.864,884.33,19.72,0
2024,"SAVINJSKA","15 01 03","Wooden Packaging (15 01 03)","Packaging Waste",15472.842,20.68,0,5631.855,2658.685,7161.622,0,0
2024,"SAVINJSKA","17 02 01","Construction Wood Waste (17 02 01)","Construction/Demolition Waste",977.958,0,0,311.538,652.94,13.48,0,0
2024,"SAVINJSKA","19 12 01","Paper and Cardboard from Waste Treatment (19 12 01)","Waste Treatment Residues",28.84,9,0,0,0,19.84,0,0
2024,"SAVINJSKA","20 01 01","Paper and Cardboard from Municipal Waste (20 01 01)","Municipal Waste",5876.447,0,0.399,3391.119,2475.649,9.28,0,0
2024,"SAVINJSKA","20 01 38","Non-hazardous Wood from Municipal Waste (20 01 38)","Municipal Waste",2078.883,0,0,124.083,1604.84,349.96,0,0
2024,"SAVINJSKA","20 03 07","Bulky Municipal Waste (20 03 07)","Municipal Waste",33079.215,18488.69,0,126.465,14464.06,0,0,0
2024,"ZASAVSKA","17 02 01","Construction Wood Waste (17 02 01)","Construction/Demolition Waste",11.58,11.58,0,0,0,0,0,0
2024,"ZASAVSKA","20 01 38","Non-hazardous Wood from Municipal Waste (20 01 38)","Municipal Waste",94.06,0,0,0,94.06,0,0,0
2024,"ZASAVSKA","20 03 07","Bulky Municipal Waste (20 03 07)","Municipal Waste",971.372,0,0,0,971.372,0,0,0
