"year","statistical_region","treatment_inlet_delivered_waste_code","input_waste_name","waste_category","treatment_operation","treatment_outlet_delivered_waste_code","output_waste_name","waste_category_1","further_treatment_envisaged","waste_sent_to_self_storage_end_year","waste_sent_to_collector_SI","waste_sent_to_treatment_operator","waste_sent_to_EU_member_states","waste_sent_to_non_EU_countries","waste_sent_to_no_further_management"
2024,"JUGOVZHODNA SLOVENIJA","03 03 08","Waste from Sorting of Paper and Cardboard for Recycling (03 03 08)","Wood/Paper Production Waste","R_12, R_13","15 01 01","Paper and Cardboard Packaging (15 01 01)","Packaging Waste","R_03",0,0,0,273.055,0,0
2024,"JUGOVZHODNA SLOVENIJA","03 03 08","Waste from Sorting of Paper and Cardboard for Recycling (03 03 08)","Wood/Paper Production Waste","R_12, R_13","19 12 01","Paper and Cardboard from Waste Treatment (19 12 01)","Waste Treatment Residues","R_03",0,0,0,109.732,139.63,0
2024,"JUGOVZHODNA SLOVENIJA","03 03 08","Waste from Sorting of Paper and Cardboard for Recycling (03 03 08)","Wood/Paper Production Waste","R_12, R_13","19 12 12","Other Mechanically Treated Waste (19 12 12)","Waste Treatment Residues","R_01",0,0,0,80.5,0,0
2024,"JUGOVZHODNA SLOVENIJA","03 03 08","Waste from Sorting of Paper and Cardboard for Recycling (03 03 08)","Wood/Paper Production Waste","R_12, R_13","19 12 12","Other Mechanically Treated Waste (19 12 12)","Waste Treatment Residues","R_12",0,0,63.17,0,0,0
2024,"JUGOVZHODNA SLOVENIJA","03 03 08","Waste from Sorting of Paper and Cardboard for Recycling (03 03 08)","Wood/Paper Production Waste","R_12, R_13","20 01 01","Paper and Cardboard from Municipal Waste (20 01 01)","Municipal Waste","R_03",0,0,0,1190.102,0,0
2024,"JUGOVZHODNA SLOVENIJA","03 03 99","Other Unspecified Paper Waste (03 03 99)","Wood/Paper Production Waste","R_12, R_13","19 12 01","Paper and Cardboard from Waste Treatment (19 12 01)","Waste Treatment Residues","R_03",0,0,0,22.88,110,0
2024,"JUGOVZHODNA SLOVENIJA","07 02 13","Waste Plastics (07 02 13)","Organic Chemical Waste","R_03","15 01 03","Wooden Packaging (15 01 03)","Packaging Waste","R_12, R_13",0,0,31.07,0,0,0
2024,"JUGOVZHODNA SLOVENIJA","07 02 13","Waste Plastics (07 02 13)","Organic Chemical Waste","R_03","19 12 01","Paper and Cardboard from Waste Treatment (19 12 01)","Waste Treatment Residues","R_12",0,0,6.869,0,0,0
2024,"JUGOVZHODNA SLOVENIJA","15 01 01","Paper and Cardboard Packaging (15 01 01)","Packaging Waste","R_12, R_13","15 01 01","Paper and Cardboard Packaging (15 01 01)","Packaging Waste","R_03",0,0,0,4151.833,0,0
2024,"JUGOVZHODNA SLOVENIJA","15 01 01","Paper and Cardboard Packaging (15 01 01)","Packaging Waste","R_12, R_13","15 01 01","Paper and Cardboard Packaging (15 01 01)","Packaging Waste","R_12",0,0,681.58,0,0,0
